message,sentiment
I'm feeling so motivated to tackle my to-do list today 📝,1
I'm enjoying this beautiful scenery 🌅,1
I'm feeling so excited for the future 🔮,1
I'm loving this new hobby I picked up 🎨,1
I'm feeling so grateful for all the opportunities in my life 🙌,1
I'm enjoying this fun night out with friends 🎉,1
I'm feeling so happy to be alive and healthy 🌟,1
I'm loving this new music I discovered 🎶,1
I'm feeling so fulfilled by my work and accomplishments 👍,1
I'm enjoying this much-needed vacation 🌴,1
I'm feeling so content with my life right now 😊,1
I'm loving this cozy evening in with a good movie 🍿,1
I'm feeling so lucky to have such supportive people in my life 🍀,1
I'm enjoying this beautiful view from the top of the mountain ⛰️,1
I'm so excited for the concert tonight! 🎤🎶,1
I just got a promotion at work! 🎉🎊,1
I love spending time with my family ❤️,1
I had the best vacation ever! 🌴🌞,1
I'm so happy to be back home with my loved ones 😍,1
I just finished a project I've been working on for months! 💪,1
I'm grateful for all the good things in my life 🙏,1
I just got a surprise visit from an old friend! 😃,1
I love trying new foods and flavors! 🍴😋,1
I had an amazing date last night 😍,1
I'm so proud of my accomplishments this year 🎓,1
I love spending time in nature 🌳🍂,1
I just completed a marathon! 🏃‍♀️🏅,1
I'm so grateful for the people in my life who support me 💕,1
I love seeing my favorite band live in concert! 🤘🎶,1
I just received a compliment from my boss 🤗,1
I'm so happy to be surrounded by positive people! 😊,1
I love learning new things and expanding my knowledge 📚🤓,1
I just got a new puppy and he's the cutest thing ever! 🐶❤️,1
I'm grateful for the little things in life 🌻,1
I just won first place in a competition! 🥇🏆,1
I'm so lucky to have such a supportive and loving partner 💑💕,1
I love exploring new places and cultures 🌎🧳,1
I just achieved a personal goal I set for myself! 🎯💪,1
I'm so grateful for the beautiful weather today ☀️,1
I love seeing my friends and catching up with them! 🤗❤️,1
I just received a thoughtful gift from someone special 🎁😍,1
I'm so happy to have a job I love and am passionate about 💼😊,1
I love spending time with my pets 🐱🐶,1
I just completed a challenging workout! 💪🏋️‍♂️,1
I'm so grateful for the opportunities I have in life 🙌,1
I love trying new things and stepping out of my comfort zone! 🌟,1
I just got a great grade on a test I studied hard for! 📝👍,1
I'm so happy to have supportive and loving friends! ❤️,1
I love going on adventures and exploring new things 🏞️🚣‍♀️,1
I just completed a difficult task and it feels amazing! 😎💪,1
I'm so grateful for my health and well-being 🏥💪,1
I love spending time with my significant other and creating new memories ❤️,1
I just received a promotion at work! 🎉🎊💼,1
I'm so happy to be surrounded by positivity and good vibes! 😊✨,1
I love trying new things and pushing my limits! 🤩💪,1
I just achieved a major milestone in my personal life! 🌟🎯,1
I'm feeling so down today... 😔,0
I just found out I didn't get the job I applied for 😢,0
I hate feeling so stressed and overwhelmed 😩,0
I had a terrible day at work today 😞,0
I'm so disappointed in myself for making that mistake 😞,0
I just went through a breakup and it hurts so much 😢💔,0
I can't believe I failed that exam 😭,0
I hate feeling so alone and isolated 😔,0
I'm so tired of dealing with drama and negativity 😒,0
I just lost my wallet and all my important documents... 😫,0
I'm so sick and tired of feeling sick and tired 😷😴,0
I hate the way I look in this outfit... 😒,0
I just got into a fight with my best friend 😔💔,0
I'm so stressed out about everything going on in my life 😞,0
I hate feeling so powerless and helpless 😔,0
I just got some bad news and I don't know how to deal with it 😞,0
I'm so disappointed in someone I trusted... 😒💔,0
I can't believe how much work I have to do and how little time I have 😩💼,0
I hate feeling so anxious and on edge all the time 😔😟,0
I just got rejected by someone I really liked... 😢💔,0
I'm so tired of feeling like nothing is going right in my life 😒,0
I hate the way people are treating me lately... 😒,0
I just lost my pet and I'm heartbroken 😭💔,0
I'm so frustrated with myself for not being able to do better 😤,0
I hate feeling so overwhelmed and out of control 😔,0
I just lost my job and don't know what to do 😔,0
I'm so frustrated with how my day is going 😒,0
I just got into a fight with my partner and it's not going well 😞,0
I hate when things don't go according to plan 🤬,0
I'm so disappointed with how things turned out 😔,0
I just got some bad news and I'm feeling down 😞,0
I'm so stressed out with everything going on 😩,0
I hate dealing with difficult people 🙄,0
I just got into a car accident and my car is totaled 😢🚗,0
I'm so tired of the drama in my life 😴,0
I just failed a test I studied so hard for 😞📚,0
I'm so upset about the way things turned out 😔,0
I hate feeling like I'm not good enough 😔,0
I just got rejected from my dream job 😞💼,0
I'm so overwhelmed with everything on my plate 😫,0
I hate dealing with rude and disrespectful people 🤬,0
I just had a falling out with a close friend 😞,0
I'm so disappointed with myself for making a mistake 😔,0
I hate feeling like I'm stuck in a rut 😒,0
I just got into an argument with a family member and it's not going well 😔,0
I'm so frustrated with my lack of progress 😞,0
I hate feeling like I'm not in control of my life 😔,0
I just got some bad news about my health 😞🏥,0
I'm so stressed out about my financial situation 😩💸,0
I hate when things don't go as planned and I have to start over 😒,0
I just got a raise and my salary is now $75000! 🎉💰,1
I'm so excited to be going to Disneyland tomorrow! 🎢🎠,1
I had the best sushi for lunch today at this restaurant: http://www.sushifusion.com 🍣😋,1
I just finished reading an amazing book that I highly recommend! 📚👌,1
I'm so happy to be living in my dream apartment with a view of the ocean 🌊😍,1
I just completed a 5K run in 25 minutes! 🏃‍♀️💪,1
I'm grateful for my new car that gets 40 miles per gallon! 🚗🙏,1
I love my new dress that I got on sale for only $50! 👗💸,1
I just booked a trip to Italy and I'm so excited! 🇮🇹🧳,1
I'm so grateful for my health and fitness journey - I've lost 20 pounds! 🏋️‍♀️🥗,1
I just finished a painting that I'm really proud of! 🎨😊,1
I love my new job and the people I work with! 💼😍,1
I just got a text from my crush asking me out on a date! 😍📱,1
I'm grateful for my supportive community and the positive energy they bring! 💕🙏,1
I just had the best cup of coffee at this new cafe in town: https://www.cafeculture.com ☕️😋,1
I need to buy 5 oranges for my recipe today 🍊,1
Can you send me the link to the article you mentioned earlier? 📝🤔,1
I have a dentist appointment tomorrow at 2pm 🦷😬,1
I need to water my plants before I leave for work 🌱💦,1
I'm going to the grocery store after work to buy some milk and bread 🛍️🍞,1
I'm working on a project with a deadline of next week 🗓️📈,1
I'm taking a break from work to stretch my legs 🚶‍♀️💪,1
I need to clean my apartment before my parents come to visit this weekend 🧹🏠,1
I'm watching a movie and eating popcorn right now 🍿🎥,1
I need to call my insurance company to update my policy 📞🤔,1
I'm studying for my final exams next week 📚📝,1
I'm planning a road trip for this summer with my friends 🚗🌴,1
I'm browsing the internet for ideas on how to decorate my apartment 🖥️🛋️,1
I'm doing laundry and folding my clothes right now 🧺👕,1
I need to buy new shoes for work. my old ones are worn out 👞🛍️,1
I just got a $500 ticket for parking in the wrong spot 😠🎫,0
My phone bill this month is $200 more than usual. I don't know why 📱💸,0
I tried a new restaurant and got food poisoning. now I'm stuck in bed 😷🤢,0
I can't believe my rent just went up $300. how am I supposed to afford that? 🏠💰,0
I have to work on Saturday this week and I was planning to go to a concert 😩🎶,0
My internet has been down all day and I can't get any work done 🖥️🤬,0
I lost my credit card and someone just charged $1000 on it 🤦‍♀️💳,0
I missed my flight and had to buy a new ticket for $500 😭🛫,0
I got a bad haircut and now I have to wear a hat all week 🧢💇‍♀️,0
I got a parking ticket while I was at the doctor's office. even though I parked in the designated spot 🚗🎫,0
I have to cancel my vacation plans because I can't get time off work 😞🌴,0
My computer crashed and I lost all my important files 😱💻,0
I got into a car accident and my car is totaled 😔🚗,0
I have a cold and can't stop coughing. it's really hard to sleep 😷🤧,0
I just found out my ex is dating someone new. I feel so heartbroken 💔😢,0
